ASL SSV 1
WeekPlan_25_2017
rows 15 cols 52
0 0 0 1 D/H
1 0 1 1 0
2 0 2 1 :30
3 0 3 1 1
4 0 4 1 :30
5 0 5 1 2
6 0 6 1 :30
7 0 7 1 3
8 0 8 1 :30
9 0 9 1 4
10 0 10 1 :30
11 0 11 1 5
12 0 12 1 :30
13 0 13 1 6
14 0 14 1 :30
15 0 15 1 7
16 0 16 1 :30
17 0 17 1 08
18 0 18 1 :30
19 0 19 1 09
20 0 20 1 :30
21 0 21 1 10
22 0 22 1 :30
23 0 23 1 11
24 0 24 1 :30
25 0 25 1 12
26 0 26 1 :30
27 0 27 1 13
28 0 28 1 :30
29 0 29 1 14
30 0 30 1 :30
31 0 31 1 15
32 0 32 1 :30
33 0 33 1 16
34 0 34 1 :30
35 0 35 1 17
36 0 36 1 :30
37 0 37 1 18
38 0 38 1 :30
39 0 39 1 19
40 0 40 1 :30
41 0 41 1 20
42 0 42 1 :30
43 0 43 1 21
44 0 44 1 :30
45 0 45 1 22
46 0 46 1 :30
47 0 47 1 23
48 0 48 1 :30
49 0 49 1 Wt
50 0 50 1 H
51 0 51 1 Score
52 1 0 1 Mon
104 2 0 1 +>
156 3 0 1 Tue
208 4 0 1 +>
260 5 0 1 Wed
312 6 0 1 +>
364 7 0 1 Thu
416 8 0 1 +>
468 9 0 1 Fri
520 10 0 1 +>
539 10 19 5 Guitar
540 10 20 5 Guitar
543 10 23 1 Code
544 10 24 1 Code
545 10 25 1 Code
552 10 32 2 Bike
553 10 33 2 Bike
554 10 34 2 Bike
555 10 35 2 Bike
556 10 36 2 Bike
572 11 0 1 Sat
604 11 32 3 Walk?
605 11 33 3 Walk?
624 12 0 1 +>
639 12 15 1 Code
640 12 16 1 Code
676 13 0 1 Sun
728 14 0 1 +>
